Player Name,Team,Pos,Games,OG,OA,Pts,+/-,PIM,SOG,GWG,PPG,PPA,SHG,SHA,Hits,BS
Ryan McLeod,EDM,C,57,11,12,23,4,18,78,0,0,0,2,1,40,20
Blake Lizotte,LA,LW,81,11,23,34,11,60,108,1,0,0,0,2,96,39
Sheldon Dries,VAN,C,63,11,6,17,-9,29,94,0,4,1,1,0,84,40
Klim Kostin,EDM,RW,57,11,10,21,12,66,56,2,0,0,0,0,157,15
Miro Heiskanen,DAL,D,79,11,62,73,12,32,206,2,2,32,0,1,49,96
Rasmus Andersson,CGY,D,79,11,38,49,5,26,159,4,1,20,1,1,50,136
Jack Roslovic,CLS,RW,77,11,33,44,-14,10,123,2,2,7,2,1,42,53
Thomas Chabot,OTT,D,68,11,30,41,-11,52,165,0,5,15,0,0,79,123
Anthony Cirelli,TB,C,58,11,18,29,13,33,111,1,1,1,2,0,34,46
Jakub Vrana,STL,RW,25,11,5,16,3,10,63,2,4,0,0,0,14,6
Sonny Milano,WAS,LW,64,11,22,33,-5,18,80,3,1,4,0,0,39,15
Tony DeAngelo,PHI,D,70,11,31,42,-27,73,174,1,4,15,0,0,52,79
Dakota Joshua,VAN,LW,79,11,12,23,-16,60,71,2,1,0,1,0,222,30
Anthony Mantha,WAS,RW,67,11,16,27,-8,31,119,2,1,1,0,0,68,24
Barclay Goodrow,NYR,LW,82,11,20,31,3,58,89,2,1,1,0,1,122,64
Justin Faulk,STL,D,82,11,39,50,-4,34,196,3,2,8,0,0,112,140
Alex Pietrangelo,VGK,D,73,11,43,54,13,16,170,3,1,13,0,2,65,177
Kyle Okposo,BUF,RW,75,11,17,28,-7,34,150,3,1,3,1,0,78,25
Radek Faksa,DAL,C,81,11,9,20,9,39,88,3,0,0,1,1,89,69
Jimmy Vesey,NYR,LW,81,11,14,25,13,20,123,4,0,0,1,0,98,40
Sean Kuraly,CLS,C,71,11,9,20,-28,68,100,0,1,0,1,1,187,46
Jared Spurgeon,MIN,D,79,11,23,34,32,14,149,3,1,3,0,1,66,179
Gustav Nyquist,MIN,RW,51,11,16,27,-9,16,102,2,0,1,2,0,41,30
Jakob Silfverberg,ANH,RW,81,10,16,26,-20,32,141,2,4,3,0,0,10,51
Jesper Fast,CAR,RW,80,10,19,29,9,16,76,1,0,0,0,3,104,40
Oskar Sundqvist,MIN,C,67,10,18,28,-4,28,69,0,3,5,0,0,63,28
Alex Kerfoot,TOR,C,82,10,22,32,8,30,133,1,2,1,1,1,54,46
Zemgus Girgensons,BUF,C,80,10,8,18,-5,14,114,0,0,1,0,0,96,49
Hampus Lindholm,BOS,D,80,10,43,53,49,56,158,2,1,16,0,0,78,100
Nick Foligno,BOS,LW,60,10,16,26,18,45,71,1,2,3,0,0,147,29
Andrew Cogliano,COL,LW,79,10,9,19,6,44,85,0,0,0,0,2,55,54
Lars Eller,COL,C,84,10,13,23,3,46,140,1,0,0,1,0,93,42
John Klingberg,MIN,D,67,10,23,33,-25,34,112,3,2,8,0,0,55,84
Mikael Granlund,PIT,C,79,10,31,41,-15,20,121,1,1,11,0,0,78,60
Cam Fowler,ANH,D,82,10,38,48,-23,14,130,1,4,10,0,0,18,104
Nick Bonino,PIT,C,62,10,9,19,-5,28,91,0,0,1,0,0,19,79
Hudson Fasching,NYI,RW,49,10,9,19,10,10,61,1,0,1,0,0,45,22
Mattias Janmark,EDM,C,66,10,15,25,9,30,79,1,0,0,3,1,20,26
Christian Dvorak,MON,LW,64,10,18,28,-12,6,88,1,0,3,1,0,13,66
Steven Lorentz,SJ,C,80,10,9,19,-18,16,111,0,1,0,1,1,133,46
Noah Gregor,SJ,C,57,10,7,17,-9,32,119,1,0,0,0,1,97,34
Sam Steel,MIN,C,65,10,18,28,11,18,85,2,0,3,1,0,46,15
Mikhail Sergachev,TB,D,79,10,54,64,13,53,156,2,3,24,0,1,128,149
Michael Rasmussen,DET,C,56,10,19,29,2,43,88,0,0,1,0,0,119,48
Kailer Yamamoto,EDM,LW,58,10,15,25,12,24,97,3,0,0,1,1,77,24
Jesper Boqvist,NJ,C,70,10,11,21,8,2,67,2,0,0,0,0,50,20
Trevor Moore,LA,LW,59,10,19,29,-2,14,163,1,2,5,1,1,60,23
Neal Pionk,WPG,D,82,10,23,33,-12,44,142,2,1,2,0,1,169,129
Zach Aston-Reese,TOR,C,77,10,4,14,-6,25,89,2,0,0,0,0,163,43
Alexei Toropchenko,STL,RW,69,10,9,19,6,12,86,0,0,0,1,0,122,46
Bowen Byram,COL,D,42,10,14,24,7,38,65,1,2,4,1,0,82,54
Logan O'Connor,COL,C,82,9,17,26,11,37,104,0,0,0,2,1,116,50
Sean Durzi,LA,D,72,9,29,38,-12,50,110,1,1,15,0,0,68,142
K'Andre Miller,NYR,D,79,9,34,43,12,37,113,2,0,3,0,2,162,105
